term	genes	type	name	parents
R-HSA-159234	Q9UKX7;P37198;Q9BTX1;P49790;Q96EE3;P55735;Q96HA1;Q9BVL2;Q8NFH5;Q8TEM1;Q9BW27;P57740;P52298;Q99567;P35658;Q8NFH3;Q8N1F7;P49792;P52948;Q7Z3B4;P12270;P78406;Q9NRG9;P06730;O75694;Q9UBU9;A8CG34;Q5SRE5;Q12769;O15504;Q92621;Q86V81;Q09161;Q8NFH4;Q8WUM0;Q14493;Q92797;O95639;Q9UKF6;Q9P2I0;Q6UN15;Q10570;Q9C0J8	Metabolism of RNA	Transport of Mature mRNAs Derived from Intronless Transcripts	R-HSA-72202
R-HSA-159236	O95391;Q01081;Q13247;Q9UKX7;Q08170;P37198;Q9BTX1;P49790;Q6I9Y2;Q13243;Q96EE3;O60508;P82979;P55735;Q96HA1;Q9BVL2;Q8NFH5;Q8TEM1;Q8IYB3;Q9BW27;P57740;P61326;P52298;Q92620;Q99567;Q15287;Q01130;Q13242;P84103;Q07955;P26368;Q86W42;Q96QD9;P35658;Q8NFH3;Q8N1F7;Q9BY77;P49792;P52948;Q7Z3B4;Q96J01;Q9Y5S9;P12270;Q96FV9;P78406;Q05519;Q16629;O15234;Q13838;O00148;P38919;Q9Y3Y2;Q9NRG9;Q53GS7;Q9P127;O75694;Q9UBU9;A8CG34;Q96A72;Q5SRE5;Q12769;Q9UKK6;O15504;Q92621;Q8WU68;Q13769;Q86V81;O75152;Q09161;Q8NFH4;Q9BZI7;Q8WUM0;Q9GZY0;Q8NI27	Metabolism of RNA	Transport of Mature mRNA derived from an Intron-Containing Transcript	R-HSA-72202
R-HSA-1592389	P45452;P01033;P00747;Q9ULZ9;P14780;Q9NPA2;P03952;P20151;P22894;P50281;Q9BQ16;Q15661;P16035;P08254;P09237;Q6GPI1;P08311;P08246;P23946;P09958;O60911;P43235;P39060;P03956;P17538;P51512;P09238;Q9Y5R2;P08253;P24347;P51511;P07478;P07477	Extracellular matrix organization	Activation of Matrix Metalloproteinases	R-HSA-1474228
R-HSA-159418	P19793;Q9NSY2;Q9Y6L6;Q9Y2P5;Q96RI1;O15438;Q15788;Q9NPD5;P46721;Q14032;O95342;P51161;P02768;Q14973;Q15596;Q12908	Metabolism	Recycling of bile acids and salts	R-HSA-194068
R-HSA-159424	Q6IB77;Q5SZD4;Q969I3;P0C7M7;Q08AH3;Q68CK6;Q6NUN0;Q8WU03;Q08AH1	Metabolism	Conjugation of carboxylic acids	R-HSA-156587
R-HSA-159740	P04070;P07225;P00742;Q14393;P08709;P00740;P02818;P00734;P22891;P38435	Metabolism of proteins	Gamma-carboxylation of protein precursors	R-HSA-159854
R-HSA-159763	P04070;P07225;P00742;Q14393;P08709;P00740;P02818;P00734;P22891	Metabolism of proteins	Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus	R-HSA-159854
R-HSA-159782	P04070;P07225;P00742;Q14393;P08709;P00740;P09958;P02818;P00734;P22891	Metabolism of proteins	Removal of aminoterminal propeptides from gamma-carboxylated proteins	R-HSA-159854
R-HSA-159854	P04070;P07225;P00742;Q14393;P08709;P00740;P02818;P00734;P22891;P38435;P09958	Metabolism of proteins	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	R-HSA-163841
R-HSA-1606322	Q9H171;Q9UHD2;Q9Y2E6;Q96MN2;Q14653;Q04206;Q00653;Q9Y572;P25963;O15111;O14920;Q9NYR9;Q9NYS0;Q08211;Q15653;Q99836;Q8IUC6;Q13546;P19838;Q9Y6K9;O15455	Immune System	ZBP1(DAI) mediated induction of type I IFNs	R-HSA-1834949
R-HSA-1606341	Q9UHD2;Q9H171;Q9Y2E6;Q96MN2;Q14653	Immune System	IRF3 mediated activation of type 1 IFN	R-HSA-1606322
R-HSA-1614517	P51687;Q16762;Q8NFU3;Q9Y6N5;O95571;Q9UBX3	Metabolism	Sulfide oxidation to sulfate	R-HSA-1614558
R-HSA-1614558	P25325;Q99757;Q16762;Q9Y600;P32929;Q96SZ5;P00505;Q16878;Q6ZQY3;P51687;Q8NFU3;Q9Y6N5;O95571;Q9UBX3	Metabolism	Degradation of cysteine and homocysteine	R-HSA-1614635
R-HSA-1614603	P32929;P35520;P0DN79	Metabolism	Cysteine formation from homocysteine	R-HSA-1614635
R-HSA-1614635	Q00266;Q99707;Q9UBK8;P23526;Q93088;Q9H2M3;Q9BV57;Q9BV20;Q9UHY7;Q13126;P17174;Q96GX9;P32929;P35520;P0DN79;P25325;Q99757;Q16762;Q9Y600;Q96SZ5;P00505;Q16878;Q6ZQY3;P51687;Q8NFU3;Q9Y6N5;O95571;Q9UBX3	Metabolism	Sulfur amino acid metabolism	R-HSA-71291
